product_id,sku,product_family,product_group,product_name,launch_year,lifecycle_stage,base_list_price_eur,base_unit_cost_eur,target_margin_pct,product_growth_factor,is_declining_product,is_new_product,launch_date
1095,SKU-1095,Medical Devices,Monitoring Device,Monitoring Device Model 16,2022,Mature,551.56,292.21,0.39,1.1,0,0,2022-01-01
1015,SKU-1015,IT Devices,Laptop Pro,Laptop Pro Model 16,2022,Mature,900.44,631.98,0.29,1.08,0,0,2022-01-01
1030,SKU-1030,IT Devices,Laptop Standard,Laptop Standard Model 11,2021,Growth,638.04,477.89,0.24,1.01,0,0,2021-01-01
1158,SKU-1158,Legacy Products,Legacy Workstation,Legacy Workstation Model 19,2019,Decline,801.76,670.96,0.18,0.88,1,0,2019-01-01
1128,SKU-1128,Components,Connectivity Module,Connectivity Module Model 09,2024,Growth,52.9,37.94,0.31,1.18,0,0,2024-01-01
1115,SKU-1115,Industrial Tech,Industrial Scanner,Industrial Scanner Model 16,2020,Growth,1466.19,955.94,0.34,1.03,0,0,2020-01-01
1069,SKU-1069,Medical Devices,Medical Sensor,Medical Sensor Model 10,2021,Mature,191.46,112.61,0.45,1.15,0,0,2021-01-01
1170,SKU-1170,Accessories,Accessory Kit,Accessory Kit Model 11,2024,Mature,69.9,56.13,0.22,1.05,0,0,2024-01-01
1174,SKU-1174,Accessories,Accessory Kit,Accessory Kit Model 15,2022,Growth,54.5,39.65,0.22,1.05,0,0,2022-01-01
1045,SKU-1045,IT Devices,Tablet Enterprise,Tablet Enterprise Model 06,2021,Mature,424.65,318.72,0.27,1.12,0,0,2021-01-01
1066,SKU-1066,Medical Devices,Medical Sensor,Medical Sensor Model 07,2022,Growth,164.7,86.7,0.45,1.15,0,0,2022-01-01
1182,SKU-1182,Services,Service Contract,Service Contract Model 03,2018,New,246.15,83.96,0.62,1.16,0,1,2018-01-01
1165,SKU-1165,Accessories,Accessory Kit,Accessory Kit Model 06,2020,Decline,62.36,47.79,0.22,1.05,1,0,2020-01-01
1078,SKU-1078,Medical Devices,Medical Sensor,Medical Sensor Model 19,2021,New,237.49,116.64,0.45,1.15,0,1,2021-01-01
1186,SKU-1186,Services,Service Contract,Service Contract Model 07,2022,Growth,228.78,98.55,0.62,1.16,0,0,2022-01-01
1177,SKU-1177,Accessories,Accessory Kit,Accessory Kit Model 18,2021,Mature,45.28,38.86,0.22,1.05,0,0,2021-01-01
1056,SKU-1056,IT Devices,Tablet Enterprise,Tablet Enterprise Model 17,2022,Growth,425.25,256.9,0.27,1.12,0,0,2022-01-01
1152,SKU-1152,Legacy Products,Legacy Workstation,Legacy Workstation Model 13,2023,Decline,837.74,720.73,0.18,0.88,1,0,2023-01-01
1082,SKU-1082,Medical Devices,Monitoring Device,Monitoring Device Model 03,2019,Mature,854.27,588.25,0.39,1.1,0,0,2019-01-01
1068,SKU-1068,Medical Devices,Medical Sensor,Medical Sensor Model 09,2020,Decline,189.35,105.06,0.45,1.15,1,0,2020-01-01
1124,SKU-1124,Components,Connectivity Module,Connectivity Module Model 05,2023,Mature,93.75,61.57,0.31,1.18,0,0,2023-01-01
1016,SKU-1016,IT Devices,Laptop Pro,Laptop Pro Model 17,2021,Mature,1078.58,784.6,0.29,1.08,0,0,2021-01-01
1148,SKU-1148,Legacy Products,Legacy Workstation,Legacy Workstation Model 09,2023,Decline,598.85,529.42,0.18,0.88,1,0,2023-01-01
1093,SKU-1093,Medical Devices,Monitoring Device,Monitoring Device Model 14,2024,Decline,869.94,530.16,0.39,1.1,1,0,2024-01-01
1065,SKU-1065,Medical Devices,Medical Sensor,Medical Sensor Model 06,2018,Growth,144.46,81.17,0.45,1.15,0,0,2018-01-01
1060,SKU-1060,Medical Devices,Medical Sensor,Medical Sensor Model 01,2022,Mature,165.38,98.21,0.45,1.15,0,0,2022-01-01
1084,SKU-1084,Medical Devices,Monitoring Device,Monitoring Device Model 05,2022,Decline,646.21,393.13,0.39,1.1,1,0,2022-01-01
1067,SKU-1067,Medical Devices,Medical Sensor,Medical Sensor Model 08,2023,Mature,190.42,104.23,0.45,1.15,0,0,2023-01-01
1125,SKU-1125,Components,Connectivity Module,Connectivity Module Model 06,2019,Growth,81.19,54.18,0.31,1.18,0,0,2019-01-01
