column,definition
product_id,Unique product key.
year_month,Calendar month in YYYY-MM format.
product_line,Current product_family mapped to the old product_line field.
product_category,Current product_group mapped to the old product_category field.
region,Geographical region from the region dimension.
units_sold,Units sold in the product-region-month.
revenue,Revenue in EUR in the product-region-month.
unique_customers,Distinct purchasing customers.
avg_discount_pct,Mean transaction discount percentage.
units_lag_1m,Units sold one month earlier.
units_lag_3m,Units sold three months earlier.
revenue_lag_1m,Revenue one month earlier.
rolling_units_mean_3m,Mean units over the prior three months; current month excluded.
rolling_units_mean_6m,Mean units over the prior six months; current month excluded.
rolling_units_std_3m,Unit standard deviation over the prior three months.
volatility_3m,Prior-three-month standard deviation divided by prior-three-month mean.
mom_units_growth_pct,Current units versus previous-month units.
customer_count_growth_pct,Current unique customers versus previous month.
trend_slope_3m,Linear unit trend across the prior three months.
trend_slope_6m,Linear unit trend across the prior six months.
stockout_flag,Maximum stockout flag from inventory for the month.
backorder_units,Proxy: units above opening stock plus production; zero if inventory unavailable.
market_demand_index,"Proxy: category-region units versus trailing six-month baseline, indexed to 100."
competitor_pressure_index,Proxy: 100 minus the product unit share within category-region-month.
campaign_flag,Proxy: one when CRM or matching pipeline activity exists.
website_visits,Proxy: regional CRM activity count; not literal website visits.
demo_requests,Proxy: demo/visit/meeting CRM activities plus new opportunities.
risk_factor_sales_drop,One when month-over-month unit growth is below -25%.
risk_factor_customer_drop,One when customer-count growth is below -25%.
risk_factor_volatility,One when three-month volatility exceeds 0.45.
risk_factor_under_trend,One when units are below 75% of trend-adjusted expectation.
next_month_risk_label,"Target: 0 low, 1 medium, 2 high based on next-month risk triggers; unavailable for final month."
